River,Electric Conductivity (μS/cm),Potential of Hydrogen (pH),Total Dissolved Solids (mg/L),Dissolved oxygen (mg/L),Biochemical Oxygen Demand (mg/L),Total Hardness (mgCaCO3/L),Total Alkalinity (mg/L as CaCO3),Nitrate N (mgN/L),Amonia N (mgN/L),Iron(mg/L),BOD Score,DO Score,TDS Score,EC Score,Iron Score,pH Score,Overall Score
Bharathapuzha,212.66162790697675,7.74936046511628,116.58285714285715,6.758164556962025,1.1873837209302325,91.05630394767441,89.97360713953489,1.116197005988024,0.12602173913043477,0.1080214876033058,1,1,1,1,1,1,6
Cauvery,649.8205491990847,7.928080416191562,277.11318181818183,6.853715749039694,1.6294448256146368,159.69825369948188,133.9887075374231,2.0820378075283923,0.1843792474344356,0.11788881720595534,1,1,1,1,1,1,6
Duplicate-Palar,746.9744444444444,7.7956666666666665,437.9625,5.739090909090909,1.7108555555555556,166.18206748101264,164.41725183544304,0.962186046511628,0.070134375,0.057999999999999996,1,1,1,1,1,1,6
Duplicate-Vaigai,249.60557768924303,7.7694023904382465,88.82608695652173,6.981983805668016,1.4187649402390439,97.36281579282868,91.09695265461846,1.8658538135593221,0.1198648854961832,0.1309699481865285,1,1,1,1,1,1,6
Thambraparani,186.7945945945946,7.4930810810810815,109.76176470588236,5.800810810810812,1.257891891891892,66.56078418378378,57.844794199999995,1.1082149171270719,0.11575555555555554,0.12166521739130434,1,1,1,1,1,1,6
Duplicate-Vellar,408.2708333333333,7.909166666666667,189.975,5.873333333333332,1.6518333333333333,116.40912780952381,114.22767476190477,0.9326956521739131,0.039,0.3865,1,1,1,1,-1,1,4
Thambraparni,155.0,7.7,116.0,,0.8,32.416668,34.01639,1.3,0.6,1.54,1,0,1,1,-1,1,3
Duplicate-Ponnaiyar,996.546646153846,7.972303571428571,627.376582278481,5.52216890459364,5.2364006116207955,285.09063242168673,273.1380258554217,7.073134057046979,1.0654659602649008,0.09317752808988763,-1,1,-1,1,1,1,2
Tambraparani,2780.0,7.9,1585.0,,0.79,555.5333,234.61476,4.44,0.154,0.0,1,0,-1,-1,1,1,1
